feeder_id,feeder_name,uc_name,province,district,consumers,circuit_length_km,peak_load_mw,td_loss_percent,technical_loss_percent,non_technical_loss_percent,recovery_percent,line_type,maintenance_status,lat,lon
FDR_QUE_0032,Tareen (H-36) Feeder 2,Tareen (H-36),Balochistan,Quetta,839,32.61,8.27,14.16,3.31,5.1,81.6,33kV,Good,30.212718622393268,67.21799791646902
FDR_QUE_0033,Afghan (H-24) Feeder 1,Afghan (H-24),Balochistan,Quetta,3026,16.07,8.01,14.98,7.92,1.59,65.81,11kV,Good,30.098059924989567,67.09041062711613
FDR_QUE_0034,Afghan (H-24) Feeder 2,Afghan (H-24),Balochistan,Quetta,3897,7.54,14.78,19.11,6.98,21.83,94.58,33kV,Poor,30.107096383079153,67.08392768308128
FDR_QUE_0035,Afghan (H-24) Feeder 3,Afghan (H-24),Balochistan,Quetta,3097,17.66,3.5,14.98,3.09,10.87,95.87,11kV,Fair,30.087601832295036,67.08216679581975
FDR_QUE_0036,Haji Quadus (H-23) Feeder 1,Haji Quadus (H-23),Balochistan,Quetta,3452,22.89,2.47,5.13,4.37,26.12,63.85,33kV,Fair,30.184419961903313,67.05454728711422
FDR_QUE_0037,Haji Quadus (H-23) Feeder 2,Haji Quadus (H-23),Balochistan,Quetta,603,36.38,4.52,25.92,5.31,14.81,69.91,33kV,Poor,30.18236459056057,67.07683735848882
FDR_QUE_0038,Haji Quadus (H-23) Feeder 3,Haji Quadus (H-23),Balochistan,Quetta,532,45.32,3.59,20.21,3.02,21.05,90.9,33kV,Poor,30.176554302544186,67.06835506894599
FDR_QUE_0039,Haji Quadus (H-23) Feeder 4,Haji Quadus (H-23),Balochistan,Quetta,2359,26.67,4.0,32.81,5.81,9.96,90.01,11kV,Poor,30.174167020506665,67.0557081989743
FDR_QUE_0040,Haji Ghaibi (H-22) Feeder 1,Haji Ghaibi (H-22),Balochistan,Quetta,878,13.5,3.55,15.87,4.23,7.43,65.92,33kV,Good,30.207958108596525,67.07756349434966
FDR_QUE_0041,Haji Ghaibi (H-22) Feeder 2,Haji Ghaibi (H-22),Balochistan,Quetta,2767,41.84,2.07,23.62,5.0,3.97,90.79,11kV,Fair,30.184833987858827,67.05525065541615
FDR_QUE_0042,Haji Ghaibi (H-22) Feeder 3,Haji Ghaibi (H-22),Balochistan,Quetta,1415,9.96,2.44,5.07,3.29,14.45,67.79,11kV,Good,30.216414129470678,67.07656264486859
FDR_QUE_0043,Balochi Street (H-18) Feeder 1,Balochi Street (H-18),Balochistan,Quetta,3613,12.84,3.45,11.54,6.25,21.37,87.25,11kV,Poor,30.363356466750133,67.22289358556743
FDR_QUE_0044,Balochi Street (H-18) Feeder 2,Balochi Street (H-18),Balochistan,Quetta,773,13.13,8.47,14.05,4.04,13.0,73.7,33kV,Good,30.35447938617979,67.22396967962513
FDR_QUE_0045,Balochi Street (H-18) Feeder 3,Balochi Street (H-18),Balochistan,Quetta,2758,39.03,2.14,14.44,2.97,1.56,82.73,11kV,Poor,30.34905601037931,67.22209792720405
FDR_QUE_0046,Balochi Street (H-18) Feeder 4,Balochi Street (H-18),Balochistan,Quetta,1360,43.11,2.94,21.87,3.99,20.71,68.45,33kV,Fair,30.34957555578884,67.21775232676912
FDR_QUE_0047,Killa Kasi (H-17) Feeder 1,Killa Kasi (H-17),Balochistan,Quetta,1014,7.52,3.11,8.8,7.05,24.81,85.98,11kV,Fair,30.39212115283893,67.22134537080174
FDR_QUE_0048,Killa Kasi (H-17) Feeder 2,Killa Kasi (H-17),Balochistan,Quetta,1982,41.87,3.41,30.44,7.22,4.21,95.14,33kV,Good,30.404456562281677,67.22987597577541
FDR_QUE_0049,Killa Kasi (H-17) Feeder 3,Killa Kasi (H-17),Balochistan,Quetta,2202,21.91,2.89,19.85,4.33,5.21,65.25,11kV,Good,30.411866336656566,67.20075212469413
FDR_QUE_0050,Killa Kasi (H-17) Feeder 4,Killa Kasi (H-17),Balochistan,Quetta,1079,8.57,2.43,9.85,5.7,8.96,63.9,33kV,Poor,30.418552747888704,67.23674823141761
FDR_QUE_0051,Marriabad (H-15) Feeder 1,Marriabad (H-15),Balochistan,Quetta,546,41.19,7.23,30.59,7.89,7.81,84.16,11kV,Poor,30.357689138148828,67.12945806668846
FDR_QUE_0052,Marriabad (H-15) Feeder 2,Marriabad (H-15),Balochistan,Quetta,2155,24.9,6.79,10.8,2.66,1.57,83.31,11kV,Poor,30.353299922374234,67.12319848872873
FDR_QUE_0053,Marriabad (H-15) Feeder 3,Marriabad (H-15),Balochistan,Quetta,3789,8.62,4.65,25.14,7.21,23.84,78.35,11kV,Fair,30.329917047796624,67.1100927394457
FDR_QUE_0054,Marriabad (H-15) Feeder 4,Marriabad (H-15),Balochistan,Quetta,811,18.06,7.78,23.23,5.38,8.71,85.38,11kV,Poor,30.356402869772786,67.1374735931126
FDR_QUE_0055,Said Abad (H-14) Feeder 1,Said Abad (H-14),Balochistan,Quetta,651,25.62,6.47,5.75,3.38,15.99,73.39,11kV,Poor,30.2994035374118,67.07953456191628
FDR_QUE_0056,Said Abad (H-14) Feeder 2,Said Abad (H-14),Balochistan,Quetta,1920,44.64,7.34,11.13,7.2,17.9,95.38,33kV,Poor,30.28900931282272,67.0886552280813
FDR_QUE_0057,Said Abad (H-14) Feeder 3,Said Abad (H-14),Balochistan,Quetta,4513,23.66,10.29,33.78,3.32,25.3,77.05,11kV,Fair,30.28104250605112,67.09550267448745
FDR_QUE_0058,Said Abad (H-14) Feeder 4,Said Abad (H-14),Balochistan,Quetta,3888,41.83,10.4,18.05,2.06,23.59,80.12,11kV,Fair,30.28543481372799,67.09926910603227
FDR_QUE_0059,Alamdar (H-13) Feeder 1,Alamdar (H-13),Balochistan,Quetta,4630,35.91,1.49,5.92,5.89,20.98,91.69,11kV,Good,30.315862135056012,67.27758120780295
FDR_QUE_0060,Alamdar (H-13) Feeder 2,Alamdar (H-13),Balochistan,Quetta,3084,25.74,7.6,21.38,7.99,1.9,76.34,33kV,Poor,30.313654166658942,67.27232783128674
FDR_QUE_0061,Alamdar (H-13) Feeder 3,Alamdar (H-13),Balochistan,Quetta,1671,15.87,5.22,33.2,7.34,2.94,70.58,33kV,Good,30.307291115355564,67.27176379887025
FDR_QUE_0062,Alamdar (H-13) Feeder 4,Alamdar (H-13),Balochistan,Quetta,1278,5.77,7.55,6.83,6.56,13.76,96.2,33kV,Fair,30.294215793696704,67.26878396484463
FDR_QUE_0063,Sadiq Shaheed (H-11) Feeder 1,Sadiq Shaheed (H-11),Balochistan,Quetta,3797,18.24,10.97,9.33,6.45,1.22,87.79,11kV,Fair,30.221100983585057,67.15629009094548
FDR_QUE_0064,Sadiq Shaheed (H-11) Feeder 2,Sadiq Shaheed (H-11),Balochistan,Quetta,4765,43.82,8.45,11.81,7.89,7.46,97.37,11kV,Good,30.25449522048752,67.15053678826715
FDR_QUE_0065,Sadiq Shaheed (H-11) Feeder 3,Sadiq Shaheed (H-11),Balochistan,Quetta,580,5.72,1.7,31.97,7.13,20.58,62.41,11kV,Poor,30.222338955954378,67.14907036551149
FDR_QUE_0066,Sadiq Shaheed (H-11) Feeder 4,Sadiq Shaheed (H-11),Balochistan,Quetta,776,32.17,11.16,8.97,7.96,3.61,91.4,11kV,Fair,30.23271193881143,67.15443120686695
FDR_QUE_0067,Muhammad Ali (H-9) Feeder 1,Muhammad Ali (H-9),Balochistan,Quetta,712,13.9,9.65,14.68,7.66,2.18,93.28,33kV,Fair,30.27596661483595,67.23468302914215
FDR_QUE_0068,Muhammad Ali (H-9) Feeder 2,Muhammad Ali (H-9),Balochistan,Quetta,4720,9.16,9.92,25.94,7.86,4.41,73.38,33kV,Good,30.271527707207742,67.23517862227217
FDR_QUE_0069,Faqir Muhammad (H-7) Feeder 1,Faqir Muhammad (H-7),Balochistan,Quetta,1439,25.22,10.25,4.5,3.37,1.65,70.55,33kV,Poor,30.19605089747696,67.11543604054445
FDR_QUE_0070,Faqir Muhammad (H-7) Feeder 2,Faqir Muhammad (H-7),Balochistan,Quetta,2538,37.2,5.45,11.72,7.33,14.29,89.32,33kV,Poor,30.194568376099365,67.10541993230586
FDR_QUE_0071,Faqir Muhammad (H-7) Feeder 3,Faqir Muhammad (H-7),Balochistan,Quetta,4118,27.73,3.93,26.01,5.46,13.32,66.37,33kV,Poor,30.197426817708553,67.09976158592272
FDR_QUE_0072,Faqir Muhammad (H-7) Feeder 4,Faqir Muhammad (H-7),Balochistan,Quetta,2066,19.21,7.86,27.99,2.71,10.74,85.62,11kV,Poor,30.175332522369782,67.09955804676906
FDR_QUE_0073,Malik Akhter (H-6) Feeder 1,Malik Akhter (H-6),Balochistan,Quetta,1579,30.71,4.64,17.86,7.78,8.37,82.78,33kV,Poor,30.31866414244745,67.11746494160649
FDR_QUE_0074,Malik Akhter (H-6) Feeder 2,Malik Akhter (H-6),Balochistan,Quetta,3763,39.53,4.02,30.01,2.98,11.67,75.45,33kV,Fair,30.326977099934513,67.14242424692836
FDR_QUE_0075,Malik Akhter (H-6) Feeder 3,Malik Akhter (H-6),Balochistan,Quetta,1350,36.24,10.62,5.48,5.03,9.53,61.92,11kV,Poor,30.32599087854952,67.10914633270468
FDR_QUE_0076,Malik Akhter (H-6) Feeder 4,Malik Akhter (H-6),Balochistan,Quetta,658,9.35,12.25,33.99,5.98,3.79,65.29,11kV,Poor,30.32619450838623,67.12001174702071
FDR_QUE_0077,Patel (H-5) Feeder 1,Patel (H-5),Balochistan,Quetta,4353,36.35,3.51,29.08,2.8,22.69,97.9,33kV,Good,30.184908408622835,67.27296392530032
FDR_QUE_0078,Patel (H-5) Feeder 2,Patel (H-5),Balochistan,Quetta,4060,35.63,13.82,13.28,4.72,26.93,95.66,11kV,Poor,30.214106477318946,67.25634514655536
FDR_QUE_0079,Patel (H-5) Feeder 3,Patel (H-5),Balochistan,Quetta,4340,44.75,13.29,20.9,3.13,26.37,88.15,11kV,Poor,30.18673725125048,67.25451914613888
FDR_QUE_0080,Patel (H-5) Feeder 4,Patel (H-5),Balochistan,Quetta,584,42.66,3.18,5.02,7.06,12.15,60.62,11kV,Poor,30.19196420598976,67.24002601111734
FDR_QUE_0081,Liaqat Bazar (H-3) Feeder 1,Liaqat Bazar (H-3),Balochistan,Quetta,4469,43.94,9.84,8.17,2.43,13.34,81.03,33kV,Fair,30.30818234174741,67.22442083632949
FDR_QUE_0082,Liaqat Bazar (H-3) Feeder 2,Liaqat Bazar (H-3),Balochistan,Quetta,1912,25.73,14.33,15.38,4.84,12.25,60.25,11kV,Poor,30.320073250556682,67.22327805901341
FDR_QUE_0083,Ghafoor Durrani (H-2) Feeder 1,Ghafoor Durrani (H-2),Balochistan,Quetta,610,25.75,14.32,23.63,7.8,8.03,76.99,11kV,Good,30.269755528972023,67.10619574247495
FDR_QUE_0084,Ghafoor Durrani (H-2) Feeder 2,Ghafoor Durrani (H-2),Balochistan,Quetta,1569,12.0,3.71,13.38,5.42,24.56,71.52,11kV,Fair,30.257013652892773,67.08256168555658
FDR_QUE_0085,Ghafoor Durrani (H-2) Feeder 3,Ghafoor Durrani (H-2),Balochistan,Quetta,2334,9.86,3.32,11.35,6.33,20.27,93.2,11kV,Fair,30.253073000163422,67.0890099677126
FDR_QUE_0086,Ghafoor Durrani (H-2) Feeder 4,Ghafoor Durrani (H-2),Balochistan,Quetta,1008,21.58,7.95,24.29,2.5,12.92,61.92,11kV,Poor,30.27646234956064,67.08659117314436
FDR_QUE_0087,Shara Iqbal (H-1) Feeder 1,Shara Iqbal (H-1),Balochistan,Quetta,4555,16.99,4.54,16.66,4.84,20.74,88.18,11kV,Fair,30.278630505818132,67.22505129017605
FDR_QUE_0088,Shara Iqbal (H-1) Feeder 2,Shara Iqbal (H-1),Balochistan,Quetta,3432,44.23,8.6,4.6,7.12,3.04,60.45,33kV,Fair,30.289080561761008,67.19820071761386
FDR_QUE_0089,Panjpai (H-67) Feeder 1,Panjpai (H-67),Balochistan,Quetta,3440,24.34,6.24,32.47,5.75,21.74,73.36,33kV,Poor,30.084852086363366,66.95398089150122
FDR_QUE_0090,Panjpai (H-67) Feeder 2,Panjpai (H-67),Balochistan,Quetta,4887,35.89,3.74,22.56,3.03,15.4,91.8,33kV,Poor,30.11484355647185,66.95815846682639
FDR_QUE_0091,Zarkoo (H-66) Feeder 1,Zarkoo (H-66),Balochistan,Quetta,2955,20.77,9.78,21.04,7.46,9.37,93.95,33kV,Fair,30.172462656699967,66.90130578252497
FDR_QUE_0092,Zarkoo (H-66) Feeder 2,Zarkoo (H-66),Balochistan,Quetta,3234,18.14,7.78,20.17,4.04,15.28,68.16,33kV,Good,30.167746588537234,66.8851544437624
FDR_QUE_0093,Aghbarg (H-63) Feeder 1,Aghbarg (H-63),Balochistan,Quetta,4620,32.58,5.75,17.7,5.56,5.29,67.56,33kV,Fair,30.147449882194994,66.77432038341665
FDR_QUE_0094,Aghbarg (H-63) Feeder 2,Aghbarg (H-63),Balochistan,Quetta,2294,22.49,11.77,6.94,5.13,8.47,93.96,11kV,Good,30.15054148819644,66.75416166565488
FDR_QUE_0095,Aghbarg (H-63) Feeder 3,Aghbarg (H-63),Balochistan,Quetta,3487,7.97,1.3,17.87,2.7,13.88,85.5,11kV,Fair,30.171210620529443,66.77132787228051
FDR_QUE_0096,Baleli (H-62) Feeder 1,Baleli (H-62),Balochistan,Quetta,4232,14.29,12.61,14.89,7.03,20.34,64.07,11kV,Poor,30.04910617397812,66.88169907020668
FDR_QUE_0097,Baleli (H-62) Feeder 2,Baleli (H-62),Balochistan,Quetta,4096,41.74,12.67,33.73,7.72,5.31,68.34,11kV,Good,30.062806468277667,66.87131962102538
FDR_QUE_0098,Baleli (H-62) Feeder 3,Baleli (H-62),Balochistan,Quetta,2715,29.97,1.69,4.22,2.08,20.8,93.75,11kV,Fair,30.050086445352346,66.8801113805127
FDR_QUE_0099,Kuchlak (H-61) Feeder 1,Kuchlak (H-61),Balochistan,Quetta,3777,48.18,14.91,7.39,2.24,19.61,78.04,11kV,Good,30.032010370352978,66.93774954480261
FDR_QUE_0100,Kuchlak (H-61) Feeder 2,Kuchlak (H-61),Balochistan,Quetta,4429,31.17,6.17,6.23,6.63,9.74,83.5,33kV,Fair,30.030613687542882,66.94201981903053
FDR_QUE_0101,Kuchlak (H-61) Feeder 3,Kuchlak (H-61),Balochistan,Quetta,992,16.01,1.81,22.22,5.91,26.39,97.44,11kV,Poor,30.02940550581897,66.9575836506546
FDR_QUE_0102,Kechi Baig (H-59) Feeder 1,Kechi Baig (H-59),Balochistan,Quetta,1503,22.41,13.3,4.85,2.44,23.68,72.53,33kV,Good,30.14570221367812,67.0154364090081
FDR_QUE_0103,Kechi Baig (H-59) Feeder 2,Kechi Baig (H-59),Balochistan,Quetta,1852,25.75,1.17,11.63,5.5,3.68,86.42,33kV,Poor,30.140929080091404,67.0182081889505
FDR_QUE_0104,Kechi Baig (H-59) Feeder 3,Kechi Baig (H-59),Balochistan,Quetta,587,5.92,6.46,7.6,5.75,3.61,65.39,33kV,Good,30.12306136024322,67.00221937543195
FDR_QUE_0105,Shadizai (H-60) Feeder 1,Shadizai (H-60),Balochistan,Quetta,770,6.03,6.05,14.06,5.53,1.88,89.88,33kV,Good,30.136067790928166,66.95058846076051
FDR_QUE_0106,Shadizai (H-60) Feeder 2,Shadizai (H-60),Balochistan,Quetta,2007,21.15,12.61,26.12,4.93,20.57,97.72,33kV,Good,30.12184191228045,66.9192018160499
FDR_QUE_0107,Shadizai (H-60) Feeder 3,Shadizai (H-60),Balochistan,Quetta,2158,8.74,3.13,34.9,7.01,4.07,85.9,33kV,Poor,30.12180242482599,66.92728112175679
FDR_QUE_0108,Shadizai (H-60) Feeder 4,Shadizai (H-60),Balochistan,Quetta,4841,28.18,8.4,11.42,4.83,9.32,91.64,11kV,Fair,30.123069475452482,66.93594408528577
FDR_QUE_0109,Lore Karez (H-58) Feeder 1,Lore Karez (H-58),Balochistan,Quetta,4724,24.06,13.3,11.83,5.13,10.13,85.96,33kV,Poor,30.136632574353435,66.8582401972804
FDR_QUE_0110,Lore Karez (H-58) Feeder 2,Lore Karez (H-58),Balochistan,Quetta,1933,24.84,7.39,8.38,5.46,14.52,93.46,11kV,Good,30.106937342534977,66.84672413689158
FDR_QUE_0111,Lore Karez (H-58) Feeder 3,Lore Karez (H-58),Balochistan,Quetta,1401,23.79,13.63,4.25,5.9,2.39,64.95,33kV,Poor,30.112213296436533,66.85763372786454
FDR_QUE_0112,Qambrani (H-57) Feeder 1,Qambrani (H-57),Balochistan,Quetta,4598,30.43,6.6,31.93,7.2,3.02,62.95,33kV,Fair,30.126290252437567,66.8725659157788
FDR_QUE_0113,Qambrani (H-57) Feeder 2,Qambrani (H-57),Balochistan,Quetta,2867,14.89,5.88,13.58,2.18,6.29,60.28,11kV,Poor,30.128167512911233,66.85254194865182
FDR_QUE_0114,Qambrani (H-57) Feeder 3,Qambrani (H-57),Balochistan,Quetta,4368,23.77,9.44,27.13,4.79,18.28,71.19,33kV,Fair,30.124862071445982,66.8402197443295
FDR_QUE_0115,Ahmed khan (H-56) Feeder 1,Ahmed khan (H-56),Balochistan,Quetta,1485,43.02,2.82,10.51,2.08,6.48,74.53,11kV,Good,30.237198033293847,66.99233457145361
FDR_QUE_0116,Ahmed khan (H-56) Feeder 2,Ahmed khan (H-56),Balochistan,Quetta,4558,32.7,8.87,3.45,5.94,8.66,86.97,33kV,Poor,30.222476780094148,66.9769230380897
FDR_QUE_0117,Chashma jeo (H-55) Feeder 1,Chashma jeo (H-55),Balochistan,Quetta,4928,36.6,3.22,8.25,4.21,5.3,61.97,11kV,Poor,30.281093788688125,66.97892850459115
FDR_QUE_0118,Chashma jeo (H-55) Feeder 2,Chashma jeo (H-55),Balochistan,Quetta,4474,31.13,10.34,24.5,3.4,3.16,80.68,33kV,Fair,30.304730003924785,67.00454498162235
FDR_QUE_0119,Poodgali (H-54) Feeder 1,Poodgali (H-54),Balochistan,Quetta,1903,24.16,4.7,8.44,7.64,17.81,67.16,33kV,Good,30.32337188191178,66.99572581606353
FDR_QUE_0120,Poodgali (H-54) Feeder 2,Poodgali (H-54),Balochistan,Quetta,2695,5.06,11.94,14.9,6.67,4.68,62.7,11kV,Fair,30.326440207528524,67.02004583629095
FDR_QUE_0121,Poodgali (H-54) Feeder 3,Poodgali (H-54),Balochistan,Quetta,956,8.54,13.75,8.14,6.3,18.13,67.26,11kV,Poor,30.33280611922432,67.02269866971712
FDR_QUE_0122,Poodgali (H-54) Feeder 4,Poodgali (H-54),Balochistan,Quetta,1632,14.58,3.62,9.84,3.09,18.69,76.88,33kV,Good,30.325857361296162,67.00245063897462
FDR_QUE_0123,Pashtoon Bagh (H-53) Feeder 1,Pashtoon Bagh (H-53),Balochistan,Quetta,625,34.38,14.79,23.32,5.72,1.51,65.68,11kV,Good,30.27960710494836,66.86895097956109
FDR_QUE_0124,Pashtoon Bagh (H-53) Feeder 2,Pashtoon Bagh (H-53),Balochistan,Quetta,3611,32.12,6.17,13.03,2.28,14.0,65.09,33kV,Poor,30.299512559368534,66.87802792554058
FDR_QUE_0125,Sabzal (H-52) Feeder 1,Sabzal (H-52),Balochistan,Quetta,1241,44.72,4.02,4.65,2.16,3.32,62.16,33kV,Good,30.32781685841275,66.91785798461443
FDR_QUE_0126,Sabzal (H-52) Feeder 2,Sabzal (H-52),Balochistan,Quetta,4743,30.11,7.23,33.17,3.26,7.78,77.98,33kV,Poor,30.326900006095908,66.91915313038739
FDR_QUE_0127,Sabzal (H-52) Feeder 3,Sabzal (H-52),Balochistan,Quetta,2626,36.08,3.26,33.74,7.08,18.99,84.68,11kV,Good,30.303289148606243,66.90963681797776
FDR_QUE_0128,Sheikhmanda (H-51) Feeder 1,Sheikhmanda (H-51),Balochistan,Quetta,4240,23.08,7.97,7.11,4.23,22.76,60.16,33kV,Good,30.24989485851019,66.92831597807117
FDR_QUE_0129,Sheikhmanda (H-51) Feeder 2,Sheikhmanda (H-51),Balochistan,Quetta,4220,34.97,11.7,32.82,2.84,13.14,87.38,11kV,Poor,30.276992336273505,66.95903800599409
FDR_QUE_0130,Sheikhmanda (H-51) Feeder 3,Sheikhmanda (H-51),Balochistan,Quetta,4359,42.29,7.35,8.76,7.57,3.48,70.19,11kV,Good,30.274152506821494,66.93107092370691
FDR_QUE_0131,Sheikhmanda (H-51) Feeder 4,Sheikhmanda (H-51),Balochistan,Quetta,3529,22.05,6.22,29.3,5.58,3.43,87.38,11kV,Good,30.278761729091713,66.96103001504498
FDR_QUE_0132,Rajab (H-45) Feeder 1,Rajab (H-45),Balochistan,Quetta,587,30.29,9.12,32.09,3.35,13.04,71.28,33kV,Good,30.342987146871423,66.95050157329065
FDR_QUE_0133,Rajab (H-45) Feeder 2,Rajab (H-45),Balochistan,Quetta,4186,48.93,4.55,5.71,5.58,11.85,77.6,11kV,Poor,30.34346830060038,66.97866499549528
FDR_QUE_0134,Ismail (H-44) Feeder 1,Ismail (H-44),Balochistan,Quetta,4088,6.59,2.44,12.54,2.32,17.09,71.72,33kV,Good,30.377098390004413,67.01985806147366
FDR_QUE_0135,Ismail (H-44) Feeder 2,Ismail (H-44),Balochistan,Quetta,4239,44.91,1.95,27.04,3.54,10.9,63.24,11kV,Good,30.362398145010445,67.00339123340484
